SMILES,des_cv,pred_cv,Err_pred_des,DFT_cv,RE_des,RE_pred
C#CC#CCC(O)C=N,34.8721,35.19172,0.91654662373581,34.869,0.008890418423251,0.925521236628515
O=c1cc(F)nco1,21.2762,21.38665,0.51912505733739,21.282,0.027253077718263,0.491730100554457
C#CC(CCC)CCO,40.8412,40.533066,0.754469026624,40.866,0.06068614496158,0.814696813977393
C#CC1=CCCC=CC1,33.0902,33.121326,0.09406545301388,33.06,0.091349062310952,0.185499092558987
CCC1CC1C1CC1C,38.9115,38.15251,1.95055035997149,38.956,0.114231440599667,2.06255775746998
N#CC1=CCCCO1,25.9438,26.343235,1.53961646277392,25.911,0.126587163752839,1.66815252209486
O=CC1=CC=C2CC12,25.7827,24.91543,3.36376690971182,25.746,0.142546414977083,3.22601569175794
CCCC(O)C1CC1C,41.1872,41.218224,0.07532333292223,41.106,0.19753807230087,0.273011239235142
CCC1(CC#N)CC1,32.1214,32.16245,0.12779294506665,32.185,0.197607581171356,0.070063694267524
N=C1C=C(F)C=C1N,25.1905,27.16893,7.85387369727054,25.138,0.208847163656609,8.07912323971675
CCC(O)C1CC1CC,40.7172,40.650185,0.16458737008522,40.829,0.27382497734454,0.437960763183032
CCCn1cccc1C,35.714,35.847504,0.3738132444122,35.826,0.312622118014855,0.060023446658852
CCCC12CC1C21CC1,36.8336,36.29191,1.47064564918943,36.671,0.443402143383048,1.03375964658722
CCC1NC(C)CC1=O,36.2742,35.954735,0.88069536407117,36.113,0.446376651067485,0.438249383878382
CCCC1OCC1CC,38.5835,38.812347,0.59312248009997,38.778,0.501573056887921,0.088573417917386
CCCC(C)C(O)OO,41.6515,40.058453,3.82470593807864,41.866,0.512348922753549,4.31745808054268
N=C1NC2C=CN=C1C2,27.1607,27.445301,1.04784138813876,27.303,0.521188147822592,0.521191810423762
C#CCC(C)CCCC,41.8879,41.750824,0.32724492130335,42.111,0.529790316069424,0.855301465175359
CC#CC=CC(C)C#N,35.8836,35.4041,1.33626918496977,36.078,0.538832529519379,1.86789733355508
CCCC1CC1CC#N,36.9853,36.714935,0.73100582465365,36.783,0.549982328793195,0.185044721746471
CCC1CN(CC#N)C1,34.5629,35.168606,1.75247390827552,34.766,0.58419145141805,1.15804521659092
N#CC1=CC=NCCO1,28.0659,27.60223,1.65207575021116,27.881,0.663175639324267,0.999856533122921
CCCN(C)C(O)OC,40.6739,40.880405,0.50770992215004,40.96,0.698486328124994,0.194323730468744
CCc1ncncc1C,31.6141,32.038902,1.34371145379701,31.869,0.799836832031125,0.533126235526689
N=c1cncccn1,23.202,23.263275,0.26409424396333,23.41,0.888509184109348,0.626762067492525
CCC(O)N(C)CC#N,37.6984,38.04499,0.9193773198618,38.038,0.892791419107201,0.018376360481629
OCC1=NC=CN=CO1,28.9295,26.769993,7.46472345402049,29.191,0.895824055359522,8.29367613305471
O=C1CCC2CC2CN1,31.1875,31.450779,0.84418103785696,31.471,0.900829334943281,0.064252804168916
C#CC1(C)CC1(C)OO,38.6495,37.90249,1.93278384326811,39.001,0.901258942078394,2.81662008666444
CCC1(C)C=C2CC21,33.8358,31.953178,5.56399314997216,33.473,1.08385863233054,4.54044154990589
C#CC1CC1C=O,25.0122,24.986294,0.10357428485055,25.288,1.09063587472319,1.19307972160708
CC1CCCO1,22.435,22.39874,0.16161903974763,22.694,1.14127082048119,1.30104873534855
C#CC#CC1CCC1C,34.9328,34.98387,0.14619915941733,35.344,1.16342236306021,1.01892824807605
CC12COCC1C21CO1,31.8936,31.489925,1.26569159793348,31.517,1.19491068312339,0.085906018973887
