SMILES,cv,DFT_cv,RE
CC1CC1C,22.005,22.087,0.37125911169466536
Cc1ccccc1C=O,29.878,29.894,0.0535224459757752
CCC(=O)NCC(C)C,40.869,40.915,0.11242820481485855
CC(=O)C(O)(C=O)C=O,33.431,33.471,0.11950643840936677
COCC12NC1CC2C,35.698,35.435,0.7422040355580587
C#CC1NC1CC(C)=O,35.048,35.029,0.0542407719318232
OCC1CCCOCC1,35.558,35.499,0.16620186484125607
OC1C=CC2C3OC3C12,27.803,28.546,2.60281650669095
C#CC1N=COC1CC,32.686,32.625,0.18697318007662816
O=CCn1cccc1O,31.284,31.291,0.022370649707588283
OCC1CC=CCOC1,34.106,33.992,0.33537302894800053
CC(O)(C=O)C1(O)CC1,36.741,37.096,0.9569764934224632
CC(C)(C)C1CO1,30.942,30.977,0.11298705491170914
CCC(CO)OCC#N,36.768,37.144,1.0122765453370604
CNC(=N)NC(=O)CO,35.798,35.538,0.7316112330463311
N=C1C=C2CC(O)C2O1,28.888,29.037,0.5131384096153093
Cn1cc(OC=O)nn1,27.905,27.905,0.0
CCCC12NC3C1OC32,32.039,32.012,0.08434337123578978
C#CC(C)(CCC)OC,41.658,41.682,0.05757881099755508
CCCC(C)(C)CCC,45.67,45.736,0.14430645443413373
CC1(C)C(C)(C)C1(C)C,45.568,45.452,0.2552142920003513
CC(C)C(O)C(C)(C)C,45.486,45.534,0.10541573329819875
CC(C)C(C)C(C)(C)O,45.467,45.461,0.013198125866127512
CCC(CC)OC(C)C,44.01,44.009,0.0022722624917577527
CC(O)C(C)C(C)(C)O,43.455,44.452,2.2428687123189057
CC#CC(C)(CC)CC,43.39,43.336,0.12460771644822329
CCC#CCC(C)(C)C,43.011,43.014,0.006974473427256506
C#CC(C)(C=O)C(C)C,40.064,40.052,0.029961050634176707
CC(=O)n1ccnc1N,31.074,31.058,0.05151651748342388
COC1C(O)CC12CC2,35.286,35.683,1.1125746153630538
C#CCCC(C)(C)CC,43.094,43.161,0.15523273325455889
CC12CC1C1C(=O)NC12,30.573,30.234,1.1212542171065643
CN1C2CC(=O)C1C2,27.004,27.012,0.029616466755512806
O=CC12CCC1C(=O)O2,28.073,28.523,1.5776741576972946
CC#CCCC(C)OC,40.66,40.666,0.014754340235086382
CC1C(C)C2(C)C(C)C12,39.97,39.924,0.11521891594028497
O=C1CC23CCCC12C3,29.7,29.73,0.10090817356206234
CCc1conc1CC,33.891,33.908,0.05013566120090542
CC(O)CC1(O)COC1,37.323,37.226,0.260570568957184
N=C1CCN1C(=O)CO,31.735,31.731,0.012605968926279609
CC1COCCOC1,30.298,30.297,0.003300656830701619
COC(=O)C(C)N,29.208,29.221,0.04448855275316271
C#CC1=CC(=O)N(C)C1,31.43,31.431,0.0031815723330508795
O=CCC12C=CCN1C2,30.473,30.53,0.18670160497871652
C#CC1C2C(C)N3C1C23,31.134,31.01,0.399871009351818
C#CC12C3C4CN1C4C32,27.362,27.355,0.025589471760182406
CC(C#CC1CO1)CO,35.863,35.817,0.12843063349805783
