MolWt,HeavyAtomCount,HeavyAtomMolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRadicalElectrons,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,Logp,TPSA,heat_capacity
132.11499999999998,9,124.05099999999999,4,0,4,3,52,0,1,1,0,0,1,0,0,0,1,0.08339999999999992,44.760000000000005,26.74858093261719
132.167,9,120.07099999999998,5,4,5,1,54,0,1,1,0,0,1,0,0,0,1,-2.4116999999999984,73.55,24.49207305908203
134.139,9,124.059,5,3,6,5,54,0,0,0,0,0,0,0,0,0,0,-1.8501999999999996,65.63000000000001,24.143238067626953
127.14699999999998,9,118.07499999999999,4,2,4,0,50,0,1,1,0,0,1,0,0,0,1,-0.6510200000000002,57.08,27.55126953125
129.167,9,118.079,4,5,5,5,52,0,1,1,0,0,1,0,0,0,1,-1.8359299999999994,81.88000000000001,26.526519775390625
103.07699999999998,7,98.03699999999999,3,3,4,1,40,0,1,1,0,0,1,0,0,0,1,-1.6388000000000003,79.47,27.24884414672852
113.15999999999998,8,102.07199999999999,2,1,2,2,46,0,0,1,0,0,1,0,0,0,0,0.45790000000000003,32.59,26.70871353149414
99.133,7,90.06099999999998,2,2,2,1,40,0,1,1,0,1,0,0,0,1,0,0.40687,44.08,25.046161651611328
116.124,8,108.06,3,5,5,1,46,0,1,1,0,0,1,0,0,0,1,-1.58113,80.17,25.443462371826172
110.15599999999999,8,100.07599999999998,1,1,1,1,44,0,1,1,0,1,0,0,0,1,0,0.6381000000000001,20.23,27.07110595703125
132.163,9,120.067,4,3,4,3,54,0,1,1,0,0,1,0,0,0,1,-0.9772000000000003,53.519999999999996,26.95007705688477
126.163,9,116.083,4,3,4,0,50,0,1,2,0,0,2,0,0,0,1,-0.8419000000000003,48.45,25.730735778808594
166.10800000000003,12,164.092,10,0,10,0,60,0,0,1,0,0,1,0,0,0,0,2.3922,123.6,25.44831085205078
131.175,9,118.07099999999998,3,2,3,1,54,0,1,1,0,0,1,0,0,0,1,-0.09010000000000029,41.489999999999995,27.270977020263672
158.197,11,144.08499999999998,3,2,3,5,64,0,0,0,0,0,0,0,0,0,0,-0.22880000000000006,49.69,24.95529556274414
131.139,9,122.06700000000001,5,6,6,1,52,0,1,1,0,0,1,0,0,0,1,-2.076529999999999,92.2,24.81968688964844
134.135,9,124.05499999999998,5,5,5,0,54,0,1,1,0,0,1,0,0,0,1,-2.8655999999999993,84.75,26.44332504272461
126.079,9,124.063,7,2,7,0,46,1,0,0,0,0,0,0,1,0,0,-2.1533300000000004,108.53,27.456928253173828
109.132,8,102.076,3,2,3,0,42,0,3,3,0,0,3,0,0,0,3,-0.97272,47.85,24.972026824951172
103.07699999999998,7,98.03699999999998,3,2,4,2,40,0,0,0,0,0,0,0,0,0,0,-1.7487000000000001,66.4,27.53744506835937
111.1,8,106.05999999999997,3,0,3,0,42,0,0,1,0,0,1,0,0,0,0,0.3981799999999999,42.25,26.232990264892575
129.119,9,122.06299999999997,5,2,5,0,50,0,1,1,0,0,1,0,0,0,1,-1.10792,66.31,24.627716064453125
116.11599999999999,8,108.05199999999999,3,1,3,2,46,0,1,1,0,0,1,0,0,0,1,-0.8074000000000001,46.53,26.06515121459961
115.13199999999998,8,106.05999999999999,3,2,3,0,46,0,1,1,0,0,1,0,0,0,1,-0.7427000000000004,49.33,25.536518096923828
111.14399999999999,8,102.07199999999999,1,1,2,2,44,0,0,1,0,1,0,0,0,0,0,0.3069,29.1,27.16650390625
96.12899999999999,7,88.06499999999998,1,0,1,1,38,0,2,2,0,1,1,0,0,1,1,1.1054,12.53,25.742023468017575
143.066,10,142.05800000000002,9,1,9,0,52,1,0,0,0,0,0,0,1,0,0,-2.15353,127.47,23.49160385131836
114.10399999999998,8,108.056,4,2,4,0,44,0,2,2,0,0,2,0,0,0,2,-0.7341300000000002,54.34,26.309978485107425
130.14699999999996,9,120.06699999999998,4,2,4,2,52,0,1,1,0,0,1,0,0,0,1,-0.7706000000000006,50.36,26.76972961425781
