smiles,Desired_hc,Desired_qed,Predicted_hc,Predicted_qed,Error,qed_rdkit
CC(CO)C(C)(C)C,48.859,0.239,44.37825262546539,0.5166003108024597,0.09170771760647185,0.5521105528691783
CC(C)CC(C)CCC,48.859,0.239,44.33531045913696,0.577592134475708,0.09258661742694363,0.5435567265945545
CC(C)OC(C)CCC,48.859,0.239,45.10990381240845,0.5776525735855103,0.0767329701302023,0.5680678488051342
CC(C)CC(O)CCC,48.859,0.239,44.28951442241669,0.5696769952774048,0.09352392757901952,0.618178584322222
CCCCOCC(C)CCC,48.859,0.239,44.36878442764282,0.5726911425590515,0.0919015037630156,0.5167670016251804
CCCCCOC(O)C(C)O,48.859,0.239,44.7494775056839,0.5528311729431152,0.08410983635187176,0.4502654831957137
CCCC(C)(C)CCC,48.859,0.239,44.37140941619873,0.5584338307380676,0.09184777796928449,0.5422404874814915
CC(CO)C(O)C(C)C,48.859,0.239,44.239367842674255,0.5470408797264099,0.09455028054863476,0.5910444755558012
CC(C)(C(C)(C)),48.859,0.239,44.52444553375244,0.562433123588562,0.08871557883394175,0.4590282783168001
CC(COC(C))CC,48.859,0.239,44.7405081987381,0.5573609471321106,0.08429341167977043,0.5460371722763138
CC(CO)CC(C)(C)F,48.859,0.239,45.022950172424316,0.5648645758628845,0.07851265534652133,0.6231286747027528
CC(CCCCCC)CCC,48.859,0.239,44.28988993167877,0.6203150749206543,0.0935162420090716,0.47939552343269304
CC(COCC(C)(C)),48.859,0.239,44.2008513212204,0.5594773292541504,0.0953386004375776,0.5107961299327568
CCCCCCC(C)CCC,48.859,0.239,45.469425320625305,0.6055254936218262,0.06937462247231209,0.47939552343269304
CC(CO)CC(O)(C)C,48.859,0.239,45.54755091667175,0.5711038708686829,0.06777562134567323,0.5953132978027059
CC(C)CC(O)COC,48.859,0.239,44.65151607990265,0.5883151292800903,0.08611481856152096,0.6189710479977433
CC(C)C(C)(C)CCC,48.859,0.239,45.26406645774841,0.5788387060165405,0.07357771428501583,0.5456732277192704
CC(COCC(O))CC,48.859,0.239,44.81364667415619,0.5688667297363281,0.08279648224163026,0.5662764286570419
CC(CO)C(C)(C),48.859,0.239,44.7338992357254,0.5617933869361877,0.08442867771085366,0.5563716538155499
CC(COC)(C)CCC,48.859,0.239,45.265087485313416,0.5473496913909912,0.07355681685434794,0.5677063998789018
CC(C)CC(C)(C),48.859,0.239,44.41773474216461,0.5341648459434509,0.09089963482337726,0.5001817914751358
CC(COCC(O))C,48.859,0.239,45.43483018875122,0.5726799368858337,0.07008268305222745,0.549125690887723
CC(C)CCC(C)CC,48.859,0.239,44.04470205307007,0.5582279562950134,0.09853451660758372,0.5435567265945545
CC(C)CC(C)(C)O,48.859,0.239,44.12211239337921,0.5551692843437195,0.09695015466179803,0.5829747349344339
CC(COCCCC)CCC,48.859,0.239,44.395012855529785,0.5843357443809509,0.09136468500113012,0.5167670016251804
CC(C)COC(C)(C)C,48.859,0.239,44.45925712585449,0.564782977104187,0.09004979377689902,0.5576209989865297
CC(C)OC(C)CC,48.859,0.239,45.802600383758545,0.6053644418716431,0.06255550904114814,0.5489964771801433
CCCC(O)(C)CCC,48.859,0.239,44.554999470710754,0.5676241517066956,0.08809022962584677,0.6189519529723387
CC(COCCCC)C#C,48.859,0.239,44.80581283569336,0.5756229162216187,0.08295681786992452,0.4193791478191848
CC(CO)CC(O)CCCC,48.859,0.239,44.48743462562561,0.522320032119751,0.08947308324718867,0.618700707253406
CC(CO)C(O)CCC,48.859,0.239,45.235236287117004,0.5649038553237915,0.0741677830672547,0.5930042578858603
CC(C)CCC(C)(C)C,48.859,0.239,44.44274723529816,0.5513350367546082,0.09038770266894215,0.5339051517407362
CC(COCC(C))CC,48.859,0.239,45.52168905735016,0.584173858165741,0.06830493752737148,0.5193446826597379
CC(COCC(O))(C)C,48.859,0.239,45.617483258247375,0.5654463768005371,0.06634431203570737,0.5813126133130124
CC(C)CC(C)=NC,48.859,0.239,43.994521498680115,0.5596081614494324,0.0995615649382895,0.4863073915212586
CCCCOCC(C)COC,48.859,0.239,45.41943609714508,0.5417999029159546,0.07039775482213965,0.5308241108503485
CC(COCC(C))(C)C,48.859,0.239,44.25133764743805,0.5839474201202393,0.09430529385705709,0.5331347013738976
CC(C)CCCCCCCC,48.859,0.239,44.87573802471161,0.540467381477356,0.08152565495176718,0.47939552343269304
CC(C)CC(C)CC,48.859,0.239,44.134559631347656,0.5262207388877869,0.09669539631700087,0.5286347163806406
CC(CCCCCC)C#C,48.859,0.239,44.83080208301544,0.5312328934669495,0.08244536148886714,0.4039599501745262
CC(C)(C(C))CCOO,48.859,0.239,44.170637130737305,0.5233903527259827,0.09595699603476733,0.4694992591458086
CCCCCCCC(C)CC,48.859,0.239,44.20270562171936,0.5680629014968872,0.09530064836121577,0.47939552343269304
CC(COCC(C)(C))C,48.859,0.239,44.267693758010864,0.5479135513305664,0.09397053238889738,0.5671555223739858
CCC(C)CC(C)(C)C,48.859,0.239,44.00822043418884,0.5524516105651855,0.0992811880269993,0.5339051517407362
CC(C)CC(C)COO,48.859,0.239,44.456873536109924,0.5791913866996765,0.09009857884709219,0.4688736001200675
CN(COOC(C)O)C,48.859,0.239,45.39844870567322,0.549336314201355,0.07082730498632359,0.32889267802120464
CC(C)C(C(C)C),48.859,0.239,44.320356249809265,0.5830354690551758,0.09289268610063113,0.5001817914751358
CC(CO)C(O)(C)O,48.859,0.239,44.43665862083435,0.5410287976264954,0.0905123186959547,0.42284258299347427
CC(C)C(C)CCC,48.859,0.239,44.76329445838928,0.5384718179702759,0.0838270439757408,0.5286347163806406
CCCC(CCCC)CCC,48.859,0.239,44.55376744270325,0.5736858248710632,0.08811544561486634,0.5124701630992606
CCCCCCC(C)CO,48.859,0.239,45.19685924053192,0.548129141330719,0.07495324831593116,0.5680006633176108
CC(CO)C(OC)CCCC,48.859,0.239,44.165194034576416,0.598507821559906,0.0960684002010599,0.6419246777643517
CC(COCC(C)C)O,48.859,0.239,44.296738505363464,0.6010923385620117,0.09337607185240257,0.6189710479977433
CC(C)(CO)CCCC,48.859,0.239,44.205137491226196,0.5789177417755127,0.09525087514631501,0.6181883212577809
CC(COC(CC))CC,48.859,0.239,44.55594003200531,0.5599596500396729,0.08807097910302486,0.5193446826597379
CC(CO)C(C)(C)O,48.859,0.239,44.40273582935333,0.5520620942115784,0.0912066184458681,0.5502015125704369
CC(COC(C))C(C)C,48.859,0.239,44.5258367061615,0.5316407680511475,0.08868710562718235,0.5671555223739858
CC(CO)C(C)CC,48.859,0.239,44.97509241104126,0.5403701066970825,0.07949216293740645,0.5942430018912268
CC(CCCC(CC)C),48.859,0.239,45.51406979560852,0.5873948931694031,0.0684608814014098,0.4960481579147377
CCOC(C)(C)CCC,48.859,0.239,44.73390281200409,0.572790265083313,0.08442860451494939,0.5680709488160851
CC(CO)C(C)(O)C,48.859,0.239,43.998594880104065,0.5675894618034363,0.09947819480333074,0.5502015125704369
CC(C(C)(C)C)C,48.859,0.239,45.57917594909668,0.6068077683448792,0.06712834996425064,0.4387734079247987
CC(COOC(O)CO),48.859,0.239,44.10741209983826,0.5418001413345337,0.09725102642628267,0.2346980893112585
CC(C)CCC(C)(F)C,48.859,0.239,44.09137964248657,0.575886070728302,0.09757916366510631,0.5529616538514376
C#CC(C)CC(C)CCC,48.859,0.239,44.07621622085571,0.5259346961975098,0.09788951429919336,0.5236154702135508
CCC(C)(C)CC(C)C,48.859,0.239,44.72794830799103,0.5967468023300171,0.08455047569555198,0.5456732277192704
CC(COCC(C))C,48.859,0.239,44.36154246330261,0.5722916722297668,0.09204972546915388,0.5107961299327568
CC(C)CCC(C(C))O,48.859,0.239,44.180471897125244,0.5627599358558655,0.09575570729803634,0.6181785843222221
CC(COCC(C)C)C,48.859,0.239,44.79124844074249,0.6061092019081116,0.08325490819004705,0.5671555223739858
CC(C)CC(C)(C)C,48.859,0.239,44.737788438797,0.585108757019043,0.08434907716496458,0.4911539632740701
CC(CCCC(C)C)C,48.859,0.239,44.63458597660065,0.5717930793762207,0.08646132797231533,0.5435567265945545
CCCCOCC(O)CCC,48.859,0.239,44.50854182243347,0.591010332107544,0.08904108102021183,0.5768390774177771
CCC(CC(C)C)(C)O,48.859,0.239,44.220794439315796,0.5898933410644531,0.09493042347743928,0.6205856480286919
CC(CO)C(O)(O)C,48.859,0.239,44.866570234298706,0.5805860161781311,0.0817132926523526,0.42284258299347427
CCCC(C)(C)CC,48.859,0.239,44.61768627166748,0.5446662902832031,0.08680721521792344,0.528150214884252
CCOCOCC(C)CCC,48.859,0.239,44.58093822002411,0.579622745513916,0.08755933973220681,0.4204374571973619
CCOCCCC(C)CCC,48.859,0.239,45.308791399002075,0.572290301322937,0.07266232630626755,0.5167670016251804
CC(C)C(C(C)CC)C,48.859,0.239,44.27877485752106,0.5593905448913574,0.09374373487952976,0.5466510747758826
CC(CCC(C)C)CC,48.859,0.239,44.8861163854599,0.5955976247787476,0.0813132404375878,0.5435567265945545
CC(C)C(C(C)CC)F,48.859,0.239,44.09034967422485,0.570285975933075,0.09760024408553487,0.5533813800024231
CC(C)C(C(C))CO,48.859,0.239,44.35589015483856,0.5570844411849976,0.092165411595846,0.5942430018912268
CCCCOCC(C)CC,48.859,0.239,46.78275287151337,0.5399932265281677,0.042494670961064185,0.5207725666576632
CC(CCC(C)C)(C)C,48.859,0.239,45.20066976547241,0.5717585682868958,0.07487525807993593,0.5339051517407362
CN(COCC(O))CC,48.859,0.239,44.36095952987671,0.5611351728439331,0.0920616564015492,0.41984734710863847
CC(C)CC(C)C(C)C,48.859,0.239,44.81403112411499,0.5599063634872437,0.08278861368192168,0.5466510747758826
CCC(O)C(C)CCC,48.859,0.239,43.9916729927063,0.5862454771995544,0.09961986547603723,0.6181785843222221
CC(C)(C(C))CCC,48.859,0.239,44.229363203048706,0.5176345705986023,0.09475504609081839,0.528150214884252
CC(C)C(C)CC(C)C,48.859,0.239,44.32998716831207,0.563094973564148,0.09269556953044329,0.5466510747758826
CC(C)CC(C)(CC)C,48.859,0.239,44.21513855457306,0.5637174248695374,0.09504618280003567,0.5456732277192704
CC(C)CCC(C)CCCC,48.859,0.239,44.4048136472702,0.5226472020149231,0.09116409162548965,0.5390786258511792
CCCCCCC(O)CCC,48.859,0.239,45.30546724796295,0.6088711023330688,0.07273036189928263,0.5643412331132144
CC(C)C(CCC)CCCC,48.859,0.239,44.20454025268555,0.5453919172286987,0.09526309886232741,0.5390786258511792
CCC(CC)(C)CO,48.859,0.239,45.23609101772308,0.5331491231918335,0.07415028924613516,0.5958406756278831
CC(O)C(C)C(C)OO,48.859,0.239,44.06279981136322,0.5748351812362671,0.09816410873404657,0.4447245388618232
CCC(C)CC(C)CCO,48.859,0.239,44.25134479999542,0.5702062249183655,0.09430514746524855,0.6280484527141117
CC(C)CC(C)C(C)O,48.859,0.239,44.26204323768616,0.5481337308883667,0.09408618191763737,0.6195947806616594
CC(C)C(C)C(C)O,48.859,0.239,44.36979293823242,0.5593315362930298,0.09188086251801264,0.5814086179132567
CC(C)(CC(C))CCO,48.859,0.239,44.0932160615921,0.5231931209564209,0.09754157756826581,0.6181883212577809
CCCCOCC(O)CCO,48.859,0.239,44.11009609699249,0.5588908791542053,0.09719609290013118,0.5372933772638727
CC(CCC)(C)CCC,48.859,0.239,44.544968008995056,0.5623313188552856,0.08829554413731237,0.5422404874814915
CCCCOCC(C)(C),48.859,0.239,45.03088414669037,0.5857690572738647,0.07835027023290761,0.5193446826597378
CCC(CC(C))CCC,48.859,0.239,44.00237679481506,0.5746569037437439,0.09940079013456964,0.5302717025211113
CC(C)COC(C)(C)O,48.859,0.239,45.452792048454285,0.6050737500190735,0.0697150566230524,0.5878407042802775
C#CC(C)C(C)(C),48.859,0.239,44.00233745574951,0.523255467414856,0.09940159528951656,0.4373201899676832
