MolWt,HeavyAtomCount,HeavyAtomMolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRadicalElectrons,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,Logp,TPSA,QED,heat_capacity
127.23099999999998,9,110.09499999999998,1,0,1,0,54,0,1,1,0,0,1,0,0,0,1,1.7366,3.24,0.47882390414784354,40.445267
110.11199999999998,8,104.06399999999998,2,0,2,2,42,0,0,0,0,0,0,0,0,0,0,0.16779999999999995,34.14,0.2882185935324773,29.987404
129.159,9,118.07099999999998,3,0,3,4,52,0,0,0,0,0,0,0,0,0,0,1.46178,42.25,0.24958956010845523,36.286514
118.17899999999999,9,108.09899999999998,0,0,0,0,46,0,1,1,0,1,0,0,0,1,0,1.6691,0.0,0.42432462210707583,34.9838
110.15999999999998,8,100.07999999999998,2,1,2,0,44,0,0,0,0,0,0,0,0,0,0,0.25740000000000013,24.39,0.2697836151908296,33.323433
111.144,8,102.07199999999999,2,0,2,1,44,0,2,2,0,0,2,0,0,0,2,0.03190000000000004,20.310000000000002,0.4448975117618491,26.386595
126.15499999999997,9,116.07499999999997,2,2,2,0,50,0,1,1,0,1,0,0,0,1,0,-0.10450000000000004,40.46,0.44469898547273295,36.4839
108.13999999999999,8,100.07599999999998,1,0,1,1,42,0,1,1,0,1,0,0,0,1,0,0.9887999999999999,17.07,0.45763133595263733,31.0451
122.16699999999999,9,112.08699999999997,1,0,1,2,48,0,0,0,0,0,0,0,0,0,0,0.9055,9.23,0.4944551897077899,37.705276
128.219,9,112.091,2,2,2,1,54,0,1,1,0,0,1,0,0,0,1,0.4740999999999999,38.05,0.5386043522942431,40.305534
112.17199999999998,8,100.07599999999998,1,0,1,2,46,0,1,1,0,1,0,0,0,1,0,1.4774,17.07,0.4943351501067985,33.29842
102.13599999999998,8,96.08799999999998,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0.8923,0.0,0.3983895450770436,32.28618
120.19499999999998,9,108.09899999999998,0,0,0,0,48,0,2,2,0,2,0,0,0,2,0,1.9117,0.0,0.4282843423836393,35.759396
122.171,9,112.091,2,1,2,2,48,0,0,0,0,0,0,0,0,0,0,0.6407800000000001,49.81,0.5462670352177753,37.059574
113.16,8,102.07199999999997,2,1,2,4,46,0,0,0,0,0,0,0,0,0,0,1.39527,40.92,0.3338832560460517,33.001358
124.227,9,108.09899999999998,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0,2.836000000000001,0.0,0.5054285689129528,41.523544
125.12699999999997,9,118.07099999999998,3,0,3,0,48,0,2,3,0,0,3,0,0,0,2,0.24609999999999999,24.77,0.4335638601426226,28.470089
107.156,8,98.08399999999999,1,0,1,0,42,0,2,3,0,0,3,0,0,0,2,1.1206,3.24,0.4481056256954476,23.165287
127.191,9,114.08699999999999,3,3,3,4,52,0,1,1,0,0,1,0,0,0,1,-0.41253000000000023,47.910000000000004,0.3548949305870513,33.24181
117.14799999999998,8,106.05999999999999,3,2,3,0,48,0,1,1,0,0,1,0,0,0,1,-0.6869000000000003,41.489999999999995,0.44116120120586216,30.555515
127.191,9,114.087,3,3,3,3,52,0,0,0,0,0,0,0,0,0,0,-0.5913999999999995,50.08,0.2054298784903232,38.260536
123.19900000000001,9,110.09499999999998,1,0,1,4,50,0,0,0,0,0,0,0,0,0,0,1.7365,12.36,0.3985892498001459,38.678032
118.17899999999999,9,108.09899999999998,0,0,0,1,46,0,1,1,0,1,0,0,0,1,0,1.6691,0.0,0.45932101844978235,36.050575
111.144,8,102.07199999999999,2,0,2,2,44,0,1,1,0,0,1,0,0,0,1,0.46040000000000003,15.54,0.37976729167398643,30.863878
107.07199999999999,8,106.064,3,0,4,0,38,0,0,1,0,0,1,0,0,0,0,-0.48052000000000006,65.58,0.4192288375846639,21.804388
124.14299999999997,9,116.07899999999998,3,0,3,3,48,0,0,1,0,0,1,0,0,0,0,0.796,41.79,0.5127806076878082,31.420052
118.13899999999998,9,112.091,2,0,2,2,44,0,0,0,0,0,0,0,0,0,0,0.035880000000000134,27.03,0.29052177497329,38.326637
129.207,9,114.08699999999999,3,3,3,2,54,0,0,0,0,0,0,0,0,0,0,0.09080000000000055,64.07,0.36554373378844196,41.506668
107.15599999999999,8,98.08399999999999,1,0,1,0,42,0,2,2,0,2,0,0,0,2,0,1.41198,23.79,0.45885886670010156,28.051353
128.131,9,120.067,4,1,4,1,50,0,2,2,0,0,2,0,0,0,2,-1.2695999999999998,44.64,0.35307095344404854,28.50667
112.08399999999997,8,108.05199999999998,3,0,3,2,42,0,0,1,0,0,1,0,0,0,0,0.016099999999999948,43.370000000000005,0.3731941499916946,25.040073
126.15499999999997,9,116.07499999999997,2,1,2,1,50,0,3,3,0,2,1,0,0,2,1,0.013599999999999834,29.46,0.5361339346257944,30.361977
