smiles,Desired_hc,Predicted_hc,Error
CC(CC(O))CCCCOO,37.658,37.932220458984375,0.007281864649858563
CCC(C)(O)CCCC,37.658,35.58505630493164,0.05504656899114028
CC(C)C1(C)CCCCCCC1,37.658,35.01958084106445,0.07006264695245494
CC(CCCCO)CCCC,37.658,34.75141143798828,0.07718382712867704
CCC(CC#O)CCCC,37.658,39.58045959472656,0.05105049643439803
CC(C)(C(C)C(C))CN,37.658,36.86954116821289,0.02093735280118728
CC(C)CC(C#C)CC,37.658,36.023258209228516,0.043410212724294586
CCC(C)CCCCCO,37.658,36.45343017578125,0.03198708970786423
CC(C)C(C)[nH]cC,37.658,35.90761184692383,0.046481176724100404
CC(C)c(C)nnCCCC,37.658,34.64509963989258,0.08000691380602855
CC(O)c(O)cCCO,37.658,34.41123580932617,0.08621711696515559
CC1CCC(C)CCCCC1,37.658,36.307559967041016,0.03586064137657299
Cc1ncc(O)c(O)n1,37.658,35.08544921875,0.06831352650831168
COC(CC)CCCC,37.658,37.73883819580078,0.00214664070850231
CC(CCC(C))CCCC,37.658,36.675445556640625,0.026091519553863088
CCC#CC(C)CCCCN,37.658,34.80348205566406,0.07580110320080563
CC(CCC(C)CC)CCN,37.658,34.4091796875,0.08627171683307666
Cc1ncc(O)c(C)n1,37.658,34.276084899902344,0.08980601997178972
CC(C)(C(O)C=N)C=O,37.658,35.095340728759766,0.06805085961124424
CC(CCC(C)CC)CC,37.658,35.40235137939453,0.0598982585534407
CCCCCC(C)CCCC,37.658,37.78616714477539,0.003403450655249598
CCC1CC(O)CCC1,37.658,34.630306243896484,0.08039974921938278
CCCC1(C(C))CCCCC1,37.658,34.98618698120117,0.07094941363850521
CC(CCC#C)CCCCC,37.658,34.72109603881836,0.07798884596053009
CC(C)CC(C)C(C)C,37.658,38.470611572265625,0.021578723571767586
CCC(CCCO)CCC,37.658,36.00328063964844,0.043940712739698434
CCCCCCC(C)(C)(C)C,37.658,36.81494903564453,0.022387035008642784
CC(CCC(O)CC)CC,37.658,36.98225402832031,0.017944287314241032
COCOnc(N)c(O)n,37.658,36.14155578613281,0.04026884629739202
CC(OO)CCCCC,37.658,35.736366271972656,0.05102856572381287
CC1ncc(O)c(O)n1,37.658,34.33708190917969,0.08818625765628323
CCCCCC(O)CCCC,37.658,37.36505889892578,0.007778987229120506
CCCCc(C1C)(C)CC1,37.658,34.755615234375,0.07707219622988479
CCC(C)(O)nnC.n,37.658,35.378211975097656,0.060539275184618005
CC1=NC(C)C(N)Cc1,37.658,34.151458740234375,0.0931154405376182
CC(CCC(C))C(C)CC,37.658,35.96604919433594,0.04492938567274055
CCC1CCC(C)(C)C1,37.658,34.89601516723633,0.07334390654744471
CCC(CC(C))CCCC,37.658,39.248748779296875,0.04224198787234781
CCC1CC(C)cC(C)CC1,37.658,35.42995834350586,0.05916516162552822
COCC(C)CCCC,37.658,36.513214111328125,0.030399540301446603
Cc1Oc(CO)c(O)[nH]1,37.658,34.99443054199219,0.07073050767453963
CC(C)c1(C)CCCC(C)N1,37.658,34.226844787597656,0.09111358044512043
CC(COCCCCC)CC,37.658,36.446250915527344,0.03217773340253485
CC(C)(C1C)(O)CC1,37.658,34.50525665283203,0.08372041391385548
CC(#CC(C)CC),37.658,39.325801849365234,0.04428811539022872
CCc1nc(O)CCC1,37.658,34.065975189208984,0.09538543764382115
CCc1cc(O)c(O)c1,37.658,34.77173614501953,0.07664410895375405
CCC(CC(O)CCC),37.658,34.12604904174805,0.09379018955472819
CC(C)C(O)CCCCC,37.658,33.976436614990234,0.09776311500902243
CC(C(C(C))C)CCN,37.658,39.45977020263672,0.04784561587542401
CC1=CCCCCC(C)nC1,37.658,34.196197509765625,0.0919274122426676
CC(C)(C1C)C(C)C1,37.658,36.43341064453125,0.032518704006286876
CCC1cCc1cccCC,37.658,38.95730209350586,0.03450268451606187
CC(C)(C(O)CO)CC,37.658,37.750980377197266,0.0024690736947597953
Cc1Oc(CO)c(O)n1,37.658,34.80125427246094,0.07586026149925816
CC(C#CC(C)CO)CC,37.658,37.29302215576172,0.009691907277026993
CCC(C)(O)CCCCC,37.658,38.45740509033203,0.021228028316215147
CC1(CC(C))CCCC1,37.658,36.448604583740234,0.03211523225502594
CCC1CC(C)CCCCC1,37.658,36.52088165283203,0.030195930404375432
