MolWt,HeavyAtomCount,HeavyAtomMolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRadicalElectrons,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,Logp,TPSA,QED,heat_capacity
111.108,8,106.068,5,0,5,1,42,1,1,1,0,0,1,0,1,0,1,-1.3753000000000002,46.61,0.4191271490420311,22.574
74.127,5,64.047,2,2,2,2,32,0,0,0,0,0,0,0,0,0,0,-0.48789999999999994,38.05,0.4337390095104326,23.054
99.09299999999999,7,94.053,4,2,4,0,38,1,0,0,0,0,0,0,1,0,0,-0.6975000000000002,64.07,0.42266237602941936,23.206
102.097,7,96.04899999999999,3,3,5,3,40,0,0,0,0,0,0,0,0,0,0,-0.019499999999999906,69.01,0.3462178106772671,23.433
86.138,6,76.05799999999999,2,2,2,2,36,0,0,0,0,0,0,0,0,0,0,0.025800000000000156,38.05,0.4971023112953457,24.097
100.077,7,96.045,3,1,4,0,38,0,0,0,0,0,0,0,0,0,0,0.5054700000000001,62.51,0.45043518861543835,24.213
97.12100000000001,7,90.065,3,1,3,2,38,0,0,0,0,0,0,0,0,0,0,1.2316699999999998,48.57,0.3977349119245182,24.245
104.113,7,96.04899999999999,5,4,5,0,42,0,1,1,0,0,1,0,0,0,1,-1.7950000000000004,59.56,0.2921103866137136,24.245
104.11300000000001,7,96.049,3,2,5,3,42,0,0,0,0,0,0,0,0,0,0,-0.5792000000000002,72.0,0.16531344985432583,24.389
118.096,8,112.04800000000002,4,3,6,2,46,0,0,0,0,0,0,0,0,0,0,-0.20703000000000016,86.57,0.3461299940095463,24.622
73.13900000000001,5,62.050999999999995,1,1,1,1,32,0,0,0,0,0,0,0,0,0,0,0.7436,26.02,0.48654006674273037,24.629
73.13900000000001,5,62.050999999999995,1,1,1,1,32,0,0,0,0,0,0,0,0,0,0,0.7436,26.02,0.48654006674273037,24.629
84.122,6,76.05799999999999,2,1,2,1,34,0,0,0,0,0,0,0,0,0,0,0.24728000000000017,49.81,0.4946515189304463,24.942
88.114,6,80.05,4,4,4,3,36,0,0,0,0,0,0,0,0,0,0,-1.3975999999999997,62.11,0.1946058555631858,25.091
88.11400000000002,6,80.05000000000001,3,4,4,2,36,0,0,0,0,0,0,0,0,0,0,-1.6159299999999996,87.92,0.18579055606644515,25.133
111.10400000000001,8,106.06400000000001,4,1,4,0,42,1,0,0,0,0,0,0,1,0,0,-0.11438000000000015,58.900000000000006,0.5069170035694377,25.247
