SMILES,des_cv,pred_cv,Err_pred_des,DFT_cv,RE_des,RE_pred
CC(C)(N)N,20.9917,24.494137,16.6848650195207,25.055,16.217521452803823,2.2385272400718472
N=C1C=CN=CC1O,21.0283,25.206127,19.8676410682178,25.499,17.53284442527157,1.1485666104553127
N#CC1CC2CC12,21.1084,22.070194,4.556452617843,22.603,6.612396584524187,2.3572357651639195
CC1=NN=C2ON=CC12,21.1529,24.477568,15.7173154,26.511,20.210855871147825,7.67014446833389
C1=CN=NC=CN=NC1,21.1869,26.22417,23.7754021816049,27.412,22.709397344228798,4.333248212461689
N#CCc1ccco1,21.2393,24.138817,13.6516591106868,24.304,12.609858459512832,0.679653554970371
O=CC1C=CN=CO1,21.2488,22.398594,5.4111009,24.296,12.541982219295358,7.809540665130063
O=c1cc(F)nco1,21.2762,21.38665,0.5191250573374,21.282,0.02725307771826282,0.49173010055445665
C1=NC2CCOC2N=C1,21.3724,27.78504,30.0043041573871,26.793,20.231403724853507,3.7026088903818137
C1=NC=NN=NC=N1,21.4072,21.30488,0.47796999999999995,21.609,0.9338701466981452,1.4073765560646074
O=C1NCN2NC2N1,21.4436,22.612331,5.4502556,24.676,13.099367806775808,8.363061274112487
N=c1cc(F)c(O)no1,21.4436,27.815508,29.714730700000004,27.483,21.975039115089327,1.2098679183495278
N#CC1CC1=N,21.5437,21.046856,2.3062148000000002,19.552,10.186681669394444,7.645540098199666
CC1N=NC=NN=N1,21.5437,26.618645,23.5565154,25.019,13.890643111235452,6.393720772213128
CN=C1OC1N,21.5845,23.592419,9.3025952449874,23.159,6.798652791571314,1.871492724210893
O=CC1N=NC=CO1,21.7852,23.370373,7.2763757,23.399,6.8968759348690165,0.12234283516389666
C1=Cn2cccc21,21.8134,21.06784,3.4178991,19.899,9.62058394894216,5.873863008191363
O=CC1=C2NN2CC1,21.8134,24.847607,13.9098307,25.375,14.035862068965512,2.0783960591133006
CC1=CN=NC=NN=N1,21.8497,25.848988,18.3036269575587,28.347,22.920591244223385,8.812262320527754
C1C2C3CN1CC1C2C31,21.9319,27.932608,27.3606391,26.371,16.83326381252133,5.92168670130067
N=CC1=C2CNCC12,21.946,25.816496,17.636452635495,27.576,20.416304032492018,6.3805628082390475
Cc1nccnn1,21.9758,21.227392,3.4055998113593997,20.747,5.922784016966307,2.3154769364245356
O=CC1NCCN2OC12,21.9779,28.50667,29.706068400000003,29.282,24.94399289666006,2.6478041117410025
CC1COC(C)C1,22.001,28.520105,29.6309502383459,28.2,21.982269503546092,1.135124113475183
