SMILES,des_cv,pred_cv,Err_pred_des,jobacks,Err_joback_des,Err_joback_pred
CCc1ncnnc1F,27.9493,27.952244,0.000105327,25.556983226428482,0.09360716608749126,0.09372235965215873
C#CC(CCCC)OC,40.7213,40.72595,0.00011415,45.52902065592006,0.10559683882185412,0.1054947061615639
N=C1NC=CC2CNNC12,30.5769,30.573355,0.000115946,32.45605816810567,0.05789853340700218,0.058007758007896024
C#CC(C)CCCCCC,42.1943,42.187103,0.000170562,52.87079566539498,0.2019355965997494,0.20207172089879621
CCCC(C)C(C)OC,42.1383,42.13066,0.000181284,48.67418994488586,0.13427835064716012,0.134435312684097
CC(C=O)C(C)OCC=N,40.4573,40.44921,0.000199936,44.49386619383389,0.09072185762075431,0.09090368043571834
CCCOC(C)COCC,42.1825,42.19125,0.000207428,52.327716900747035,0.19387845489208042,0.1937112394942331
CCCC(C)CC(C)=O,41.6338,41.624187,0.000230883,45.22688673909886,0.07944581195310571,0.07965836251081834
CC(C)C1=NC1(C)C#N,36.3252,36.316185,0.000248175,37.04213476682778,0.01935457476575596,0.0195979462684178
CCC(C)CCCCO,41.9044,41.914803,0.000248245,48.22545205599535,0.13107294564405264,0.130857229677556
C#CCCCCCOC,41.1492,41.159447,0.000249014,45.580326281858234,0.09721576485559076,0.09699095295019468
CC1CC(C(C)C)CO1,38.9853,38.97556,0.000249857,42.29132668994629,0.0781726880829258,0.07840299535305256
CCCC(CCC)CCO,42.2353,42.22474,0.00025005,53.69745022569432,0.21345799805238533,0.2136546554347307
N=c1nccnnn1,22.7414,22.74877,0.000324068,19.39175585182393,0.17273547448572127,0.1731155329010766
N#CCCCC1CO1,29.3333,29.3442,0.000371596,33.125256882555554,0.11447328230539627,0.11414422825341881
CCN(CO)C(C)CO,41.2516,41.26853,0.000410452,44.50351457574781,0.0730709609510242,0.0726905415580529
C#CCNCN(C)CC=O,40.4395,40.422417,0.000422441,45.84226546526817,0.11785555121313772,0.1182281985905441
CCCC#CCC(C)C,41.475,41.49296,0.000433077,45.941511614341536,0.09722169465898084,0.09683076281174949
OCCC1=CC2CC2C1,33.8927,33.8779,0.000436697,36.27648137160655,0.06571148252190545,0.06611946034776993
CCNC(CC)CC(=O)O,42.1943,42.175194,0.000452815,47.178903170603114,0.10565322285213682,0.10605819199546158
COCC1(C)CC1,30.0417,30.056255,0.000484505,31.952958170855606,0.059814748939235045,0.059359235558527866
CCCC(C)C(O)CO,41.7237,41.74443,0.000496853,45.80432607545251,0.0890882243028874,0.08863564696410389
C#CC1CC(=O)N1,24.411,24.42317,0.000498549,24.49531150855248,0.00344194473799775,0.0029451149672986327
CCCC(C)CC(C)CC,42.2153,42.236366,0.00049902,56.01596495436079,0.24637020830766607,0.24599413694984584
CCC1OCC(C)O1,31.4049,31.389053,0.000504592,35.56488537345426,0.11696889585814002,0.11741447581245723
CC1C#CC(C)C(=O)C1,33.83,33.848106,0.000535217,35.81647687692941,0.05546265434635658,0.05495713282166229
COCC(O)CC(C)C,41.7564,41.733986,0.000536782,46.30436959028119,0.09821901540876961,0.09870307339721272
CCNC1(C)OCC(C)O1,40.9647,40.942017,0.00055373,44.63761810205483,0.08228302177005614,0.08279118060478922
C#CC(OC)C(C)CC,41.5121,41.536144,0.000579211,45.477715029981866,0.08719908261370383,0.08667038410754203
C#CCC(C)CC#C,34.7008,34.680347,0.000589397,38.73032441109307,0.10404055407134523,0.10456864156637652
N=C1C=COC=CO1,23.046,23.059593,0.000589829,24.640334545971406,0.06470425728176948,0.06415260081076501
CC(C=O)CC1NC1C,37.0673,37.09072,0.000631854,40.0863143960507,0.07531284533227461,0.07472860603881885
COCC1=CCC(O)C1,35.32,35.296974,0.00065192,37.489297894654165,0.057864457764718456,0.05847865971815874
C#CC1CNOC(=O)C1C,34.3803,34.40293,0.000658261,38.604025888211424,0.10941153910844392,0.1088253308185228
CC#CCCCC(O)CO,42.0091,42.03826,0.000694169,46.67386907483115,0.0999439122424635,0.0993191515234999
CCNC(O)C(C)OCC,42.1825,42.211998,0.000699294,50.47910601233906,0.1643572295101868,0.16377286892359494
CC(C)(C)CCC1(C)CN1,42.0589,42.088867,0.000712505,48.85867131133887,0.13917225190200394,0.13855891144071628
OCc1cc(F)ncn1,26.9831,26.9635,0.000726415,24.034137777265283,0.12269889812832156,0.12188339144438548
N#CCc1ncco1,22.9664,22.98335,0.000738068,23.66336789916021,0.029453453207941075,0.028737156184109446
C#CC1OCCCCO1,32.4416,32.41645,0.000775224,35.086257831761515,0.07537588774621216,0.07609269260242105
CCCN(C)C(O)CO,41.2449,41.212635,0.000782278,44.50351457574781,0.07322151085846125,0.07394650977837992
CCCC1OCC1(C)CO,42.0398,42.006832,0.000784206,45.982433998086954,0.08574217707246604,0.08645914651347841
C#CC#CC#CCCC,35.6108,35.63925,0.000798963,38.14258152911721,0.06637677439804394,0.06563088885859032
C=C(CC(O)CO)NCC,42.1186,42.15246,0.000803877,47.543259943207836,0.11409945278653147,0.1133872593012626
CCC1(CC=N)CO1,32.2309,32.204586,0.000816421,32.767119439629404,0.016364558398773623,0.017167619529871232
CC1NCC2CCC1C2,33.0498,33.077843,0.000848499,37.03898069088857,0.10770222658610838,0.1069451053188133
CCC1=CC1C(C)COO,41.1501,41.114586,0.000863039,45.13324189894381,0.08825295350735747,0.08903982363912238
CCCN(C)C(O)OCO,42.0747,42.11103,0.000863478,48.10573590567078,0.1253704114930675,0.1246152000964216
CC(C)OC(C)(N)C=O,39.5177,39.55298,0.000892727,43.85506715783622,0.09890230340375158,0.09809783536193954
CCCC#CCC=CCO,41.0882,41.125183,0.000900091,45.65044452968144,0.0999386660236159,0.09912853152479512
CCCC(O)(CC)CCC,42.1943,42.233433,0.000927442,53.67225321761758,0.2138526432098814,0.21312353277284923
C#CC(CCC)CCC,41.8009,41.839844,0.000931649,47.39879749569603,0.11810209945103226,0.11728047523148245
N#CC1CC1(O)C=O,27.487,27.461004,0.000945747,27.587625820703682,0.0036474983877796035,0.004589804919300342
CCCC(C)C(C)C=O,41.7237,41.68304,0.000974491,46.11350983188082,0.09519574302379169,0.09607748028795222
C#CC(C)C1CN1NCC,41.2516,41.29181,0.000974728,46.027197699022985,0.10375599510209488,0.10288238119531452
OCCC1CC2(CC2)O1,35.1922,35.228386,0.001028237,35.785317399341146,0.01657432272354433,0.015563125879984492
CCCC1COC1(C)C,40.2149,40.172604,0.001051759,42.880256182992646,0.06215812171499552,0.06314449641899685
CCCN(CC)CNCO,42.1383,42.186165,0.001135899,51.099376978348516,0.17536567974489087,0.1744289755651064
CC1NOCC1(C#N)C=O,34.7615,34.801212,0.001142422,36.068886707071464,0.036246938190502745,0.03514593387277825
CC#CC(C)NC(C)C=O,40.5404,40.492714,0.001176261,45.634485457680185,0.11162798060699648,0.11267293596305547
NCC=C1CC1C1=CO1,32.1677,32.206505,0.001206329,34.25243097362445,0.060863737678349315,0.059730825388711314
CCCC1CC1C(=O)CC,41.6049,41.65538,0.001213325,45.97524504734237,0.09505865695423846,0.09396067476952102
COC(C)(CCO)OC,40.7213,40.77089,0.001217773,44.46070136836669,0.08410576651467842,0.0829903994945062
