SMILES,des_cv,pred_cv,Err_pred_des
C#CC1CC(CC)CN1,43.4418,37.129868,0.14529629173489733
CCC1NC(=O)C1=O,45.7859,28.573086,0.3759413752943131
CC1C2COC23CCN13,44.6094,30.658936,0.31272477220328004
CCC1NC(CO)C1=O,42.0728,35.68397,0.15185175683507407
CCCC1NC2NC=C12,42.0728,34.175915,0.1876957377592103
C.CCCC1CCC1C,42.2082,41.350517,0.020320286746432666
C#CCC1CCC(O)C1,43.6479,36.95246,0.1533965839667938
CCC1CC(CNO)O1,46.4204,36.99932,0.20295126746243639
C#CC1CC12CCO2,43.3971,29.01329,0.33144633154580755
CCCC1CC1C1CC1,42.0136,38.615955,0.0808701146109068
CCC1OC1CCNC,45.9293,40.000114,0.12909374972146384
CCCC1CC2(C)OC12,44.2085,37.5971,0.1495504415621607
CC1C2CCNC(=O)C12,42.0825,32.491177,0.2279171483342338
CC1CN(CO)C1(C)O,44.6691,39.319046,0.11977080307174731
C#CC1(C)COC(=O)C1,42.5809,32.39334,0.23925184614573378
COC1NC1C1CC1,45.2248,30.999598,0.31454428655431366
CCCC1CC2(C)CC12,46.2406,38.972775,0.15717411742894266
CCCC1=CC2=COC21,46.1782,32.14035,0.30399300228686094
N#CCN=CC(=N)CO,43.5755,33.07469,0.24097963827240218
CC1CC1CC1CC1C,46.3941,37.49241,0.19187119154285986
CC(CO)C1CC1C#N,46.8311,36.71268,0.216061958470965
CC1=C=CCC2CC2C1,42.7288,33.09912,0.22536740807722191
C#CCCOC#CO,42.3833,31.582705,0.25483139481665223
CCCN1CC12CC2O,42.8944,37.930702,0.1157190167137748
COc1ncccc1F,42.4222,28.398998,0.3305628123836565
CCC1NC2C(C=N)N12,44.5469,33.83799,0.24039630575575616
C#CC#CC(=N)CC=O,44.8076,33.09796,0.26133152800459636
C#CC#CC#CC=O,44.8076,27.22353,0.3924349928209985
COCC(C)C1CCC1,45.0455,38.67684,0.1413827854982219
O=C1CC2C3CCC1C32,42.4476,28.41561,0.33057206155963564
C=C1CC2C(CC)OC12,46.8291,34.108025,0.27164894056968913
CCC1OC(C)CC1=O,46.0687,35.65332,0.2260836465430976
CC1C2CC2CC2CN21,46.0687,33.24497,0.2783610474290214
CCCC1OCC1CC,45.7162,39.207733,0.14236675064207274
C#CCNC1CCOC1,43.5939,34.23281,0.21473391978875267
CCC12CCC1C(C)C2,45.2279,37.607002,0.16849992464163088
C#CC1=COC(O)C1,43.5556,27.592197,0.3665063179427469
C#CC#CCC1CC1C,44.0673,36.60887,0.1692508626586849
CC1CC2CC(C2)C1C,44.0673,37.449013,0.1501859030086333
CCCC1CCC1(C)O,46.8777,40.52295,0.13556020839866284
CCC1=CC1C(C)C=O,46.4333,37.199028,0.19887175765804463
CCC1CC=C2CC21,42.2069,30.415941,0.2793609282272964
C#CC#CCC(O)C=O,46.5705,34.128498,0.26716487739250006
C#CC#CCCN,44.6485,30.247002,0.32255279241297646
N#CCNC1CCOC1,44.6485,32.227875,0.2781868426518388
CCC1NC(C)CC1=O,46.197,36.50926,0.20970499663909628
C#CC(OC)C(O)CC,44.3519,39.794674,0.10275154120392285
COCC1OCNC1C,44.3229,36.0532,0.18657850077349614
COC1CC(=O)O1,45.476,23.51442,0.48292682831242717
CCC(O)CC(=O)O,45.6417,34.00392,0.2549812669381495
CCCC1CCCOC1,43.6444,37.25625,0.14636818299435675
C#CC(CCC)OCC,46.2153,40.89711,0.11507422898149394
O=C=NCC1CCOC1,43.1831,31.494297,0.2706800339116949
CCC1CC(C)CC1O,45.0434,39.72824,0.1180008399277835
COCCC(C)COO,43.8817,39.399757,0.10213694124762933
C#CC(C)C1=CC1,43.8311,26.520853,0.39493069891920257
C#CC1=CC1CCCC,43.8986,37.03612,0.15632568308765651
CC(CO)C(C)(C)C#N,42.656,40.626064,0.047588515084932705
C#CC1(C=O)CC=C1C,43.6997,34.422768,0.21228823906891453
CCC1CCC(OC)C1,46.4511,38.855034,0.16352822915901408
CCC1NC12COC2=O,42.6923,32.465168,0.23955448642336966
C#CC#CCC(O)CO,44.9816,36.82353,0.18136464043531306
CC(NN)C(C)C(N)=O,46.8582,39.342705,0.1603880479201245
CCC1NCCC1C=O,42.4298,35.512566,0.1630277396359877
C1CC(CC2C3CC23)C1,46.0579,33.865936,0.26470950088265255
C#CCNCN(C)CN,42.3355,38.59336,0.0883924625697369
C#CC1CCOOCC1,45.6838,33.152393,0.2743074494445634
CCC(N)C(C)(C)C=O,43.9776,41.450943,0.0574532718210166
CCc1ccncc1O,43.4248,31.772823,0.2683253962311804
C#CCCCNC1CC1,44.0096,37.771935,0.1417342009634865
N#CC1CCCC(O)C1,44.0096,33.83882,0.2311036362263503
CC1C2CN1CC1CC12,42.9393,32.40473,0.24533628283441325
CC1N2CC2C2NCN21,44.2246,30.083416,0.3197583248891472
CCC12CC1CC(C)O2,46.2797,37.075874,0.19887392682724211
CCCCCO,45.83,30.235218,0.34027453528047774
CCCC(CN)N1CN1,44.6064,38.057907,0.1468061286162482
CC(=O)CCC=N,44.0881,30.750889,0.30251272283307984
CC(C)(C#N)CC#N,45.8648,32.816555,0.2844936634806353
CC1NNC1=CCC=O,43.0817,33.235863,0.22853873612383924
CCCC(C=O)CCO,44.8867,39.944733,0.11009870037192249
CCCC#CCC1CC1,45.2042,38.368572,0.15121665165831003
CC#CC=CC(C)C=O,43.8786,37.103176,0.15441294578807527
CCC1=C(C)CC1C=O,45.8809,35.922413,0.21705082349486485
COCCC=CCC=N,45.0031,35.5257,0.21059438982028988
CNCOCC(C)CN,46.3465,39.57527,0.14610010234979312
CCC12CCC1C(N)C2,45.1803,37.186333,0.17693479895802558
COCC#CCCNO,44.3891,37.66457,0.15149057190309492
CC(=N)C#CC(C)C,43.9494,35.423325,0.1939975384200708
N#CCCCOC1CC1,43.7329,34.95833,0.2006400616682106
CCC1=CC1(C)CC=O,44.1873,37.27917,0.15633743202254416
CCC1(O)CCCC1C,46.2269,40.060486,0.1333944988774123
C#CC#CCC1CC1,43.1854,30.981255,0.2825988742112677
CCC1C2NCCC12N,43.7746,36.023544,0.1770674246818146
CCC12COCC1C2C,43.3848,36.611694,0.15611701941837922
CCC12CC1C(C)O2,44.5151,33.202538,0.2541286543976966
OC1CC1CCN1CC1,42.5421,35.396374,0.16796834785355452
C#CC#CC(C)CO,42.4301,34.064564,0.19716041792923655
CC(=O)C(=N)CCC=O,42.606,36.04946,0.1538876833134748
C#CCNC(O)CCO,46.064,38.57441,0.16259097158598296
