SMILES,des_cv,pred_cv,Err_pred_des,jobacks,Err_joback_pred,Err_joback_des
O=CC#CCNOCO,35.316,33.22355270385742,0.0592492721752911,36.02550134547696,0.0777768118963687,0.01969441975763197
CC12CC1C1OCC12,35.316,27.56743812561035,0.21940655437732612,30.13144555738208,0.0850940731299749,0.17206457727839508
C#CC1CCC1(C)CC,35.316,39.24078369140625,0.11113330194263923,40.98953004081989,0.04266324467912012,0.13841412758745564
O=C1NCCCCC1O,35.316,33.082977294921875,0.06322977418388627,32.9310852174564,0.004612422471427078,0.07242138443950784
CC(C#N)C1CNC1C,35.316,35.568817138671875,0.0071587138597766576,37.967416230367284,0.06317519941683443,0.06983399171225703
N#CC1CC1CCCO,35.316,35.4028205871582,0.0024583924328406568,38.06408280633992,0.0699153118366603,0.07219621763438887
C#CCC=CC1(C)CC1,35.316,37.19305038452149,0.05315014114060148,38.12570590943293,0.024462642793472444,0.07369583965493896
CC#CCCNCC#N,35.316,36.15168380737305,0.02366303679275808,39.25782610443863,0.07912160721284539,0.10040866995416613
CC1=C(O)C(C)NC=C1,35.316,35.13928985595703,0.005003685129770394,35.555306766168954,0.01170055747086859,0.006730549893515557
CC(C=N)CNC(C)N,35.316,40.368125915527344,0.1430548735849853,43.66137124285896,0.07542697889659719,0.19113855120214274
Cc1cnc(CO)cn1,35.316,30.66089630126953,0.13181288081126036,32.799796976174775,0.06521079006857591,0.07671398166436685
COCC1=C(C)CC1C,35.316,38.28811264038086,0.08415768038228726,41.416373533428285,0.07553198472392858,0.14729376362477764
C#CCC1CC(CC)C1,35.316,38.014251708984375,0.07640309516888584,41.56353190397614,0.08539409507333584,0.15031282515667235
CC1CC(C=O)C=C1O,35.316,33.27840805053711,0.057696000381212274,35.45951711760794,0.06150983556365935,0.004047351156304087
C#CCC(C=O)C=O,35.316,29.898345947265625,0.1534050870068631,33.06588542043502,0.09579478767599642,0.06804942770939343
CC1CNC(C#N)C1,35.316,28.96560287475586,0.17981643236052053,31.435097956342073,0.07855852986416381,0.12345760935906205
N=C1NC1(O)C(O)CO,35.316,34.185497283935554,0.032011063429166826,32.331340825920485,0.0573485791386841,0.09231473541878829
CC1=C(CN)CC(C)N1,35.316,37.78437805175781,0.06989404382596584,40.50750024237326,0.0672251354519996,0.1281614567996136
OC1CNC2CCC2C1,35.316,33.463287353515625,0.0524609991642422,34.66916033628389,0.034782295592726706,0.018657494367959885
COCCC1C(C)C1O,35.316,38.17051315307617,0.08082775945962649,42.162934690722764,0.09469031429932834,0.16239227038978654
CC1CCC1C1CO1,35.316,30.59774780273437,0.1336009796484774,32.67641505309747,0.06361368733336795,0.08077951460138276
CCC=C1CC1O,35.316,28.31785774230957,0.1981578394407756,29.83316270147837,0.050792635508728944,0.18378330696563844
C#CCC1C2C(=O)C12,35.316,27.90224456787109,0.209926249635545,29.83079695602579,0.06464971053229383,0.18387718746033058
C#CC#CC=CCC=C,35.316,34.20370101928711,0.031495610508350126,36.83399538777826,0.07140942330040843,0.04121180371005684
CC1CC(N)(O)C1C#N,35.316,35.613040924072266,0.008410944729648406,36.545885722686165,0.02552530278489949,0.033653192373518014
CC1CC(C#N)CO1,35.316,28.31887435913086,0.19812905314500914,31.43290475798551,0.0990691258994616,0.12353599744955143
CCCC(C#N)=CN,35.316,32.9073486328125,0.06820283631179926,35.95951935841895,0.0848779622214797,0.01789566072907719
OCC12CCCCC1C2,35.316,34.759044647216804,0.015770623875388086,35.97944044180794,0.03391925442990047,0.01843943189947504
