SMILES,des_cv,pred_cv,Err_pred_des,jobacks,Err_joback_des,Err_joback_pred
CC1CCN(C)C1(C)C,32.5124,40.445267,0.243995113360835,42.833887830081004,0.24096546806644342,0.055764744950458196
CC#CCC(=O)C=O,37.056,29.987404,0.1907544292522423,30.721976446298573,0.20617239795015066,0.023910325157061103
CC(C)CCOOC#N,40.6989,36.286514,0.108415355642866,41.417989342848074,0.017361763674610682,0.12389484434821228
C#CC#CC1CCC1C,40.6989,34.9838,0.1404239677064272,36.909771107717646,0.102659235713604,0.052180521577792516
O=CC1CC2CCN12,22.7691,26.386595,0.1588773720673573,29.891941871974858,0.23828635498093434,0.11726728517632005
CC#CC1(O)CC(O)C1,38.3857,36.4839,0.0495445396894729,34.79260345025606,0.10327185072198145,0.04861080752873328
C#CCC1(C)CC1=O,34.7064,31.0451,0.10549353265038,31.808489119734304,0.09110495218296318,0.023999540401329164
C#CC#CC(C)COC,39.7195,37.705276,0.0507112000589681,40.87525985966155,0.028275290814777965,0.07755262891404642
CCC1CC(N)C(C)N1,39.7195,40.305534,0.0147543237652279,42.51225602400796,0.06569296210558222,0.051907902106201005
CCC1C(C)C1C=O,39.7195,33.29842,0.1616606464735814,36.50007676262343,0.08820319086762306,0.08771643915834086
C#CC#CC(C)C#C,39.7195,32.28618,0.1871453923421193,34.076563614834576,0.16559581678913413,0.05254002824554661
CC#CC1C2CC(C)C12,39.1368,35.759396,0.0862974080822848,37.55455199575689,0.04213198986961376,0.047801289067693105
CC#CCCC(N)C#N,40.1262,37.059574,0.0764245274360077,40.14031339994964,0.00035160163820895655,0.07674926125398682
CC(=N)CCCC=O,40.1262,33.001358,0.1775608447292152,35.55294617775249,0.1286322039074572,0.07176868451338528
C#CC(CC)CCCC,40.1262,41.523544,0.0348237388918821,47.39879749569603,0.15343421943049101,0.12395364030552719
CC1=C2CN2C2OC2O1,27.7091,28.470089,0.0274635032801583,31.51482391022846,0.12075980246849087,0.09661278511031945
C1=C2CC3CCC1N23,27.7091,23.165287,0.163982698181382,28.208693732086935,0.017710629809088115,0.17878909175968477
N=CCNCC1CCN1,25.4833,33.24181,0.3044546760023507,36.40642519293566,0.30003289625522456,0.08692463421401016
CC1CNCC(O)O1,25.4833,30.555515,0.1990407556833942,32.085632486941726,0.20577224056994223,0.04768855616495816
CC#CCC(NC)NN,25.4833,38.260536,0.5013964515524935,42.983519292867456,0.40713788867844947,0.10987893431171818
C#CC#CC(C)C1CC1,31.5872,36.050575,0.1413032891914337,37.43919187608506,0.15630657561877356,0.03708992653156231
C#CC(C)CN1CO1,31.5872,30.863878,0.0228992044207124,34.54381499857608,0.08559028580653168,0.10652954801685255
N#CC1=NC(=O)C=N1,28.2448,21.804388,0.22802115623886,22.470333021074747,0.2569818156904674,0.029636633353415962
CCC1=NN=C1CC=O,28.2448,31.420052,0.1124189788813172,34.79662805605439,0.18828916541855586,0.09703745002576154
C#CCN(C#C)CC#N,28.2448,38.326637,0.3569448984615364,37.46378169288732,0.2460771784455916,0.023031719386633405
CC(=CNN)C(C)(C)N,37.6224,41.506668,0.1032434956520666,45.13201370847001,0.16639217024479167,0.08032758591025685
CC1C2CC(C#N)C12,21.9779,28.051353,0.2763436658911835,31.298585234116434,0.2977989313062175,0.10375012831496455
O=CC1NCCN2OC12,21.9779,28.50667,0.2970606836034809,31.64300996430345,0.3054421806018669,0.09911635991144842
O=CCC1=COC1=O,26.9244,25.040073,0.0699858346044706,27.502469210300305,0.02101881128854445,0.0895336411967723
OCC12CC3COC1C32,26.9244,30.361977,0.1276751431242723,33.233623372476394,0.18984458305264432,0.08640786291315591
OC1C2CC=NCC1C2,26.9244,30.575565,0.1356080483923417,33.291524787690015,0.19125362470764168,0.0815811172666467
Cc1ncc(ON)cn1,26.9244,30.260641,0.1239114371359236,27.66045086417757,0.02661022655747141,0.09400389561942674
C#CC#CCOCC=O,31.4705,33.0156,0.0490967190581382,36.49610853281871,0.13770258624421525,0.0953665657172436
C#CC1=CC(CO)C1=O,31.4705,31.233978,0.0075156647817996,32.98445640409832,0.04589908608923465,0.05306979695687269
CC1NNC(=N)C1C,31.4705,30.669388,0.0254559725017775,31.598203510185257,0.004041480084274179,0.029394567000806383
C#CC1CCC(CO)N1,29.1259,35.00426,0.201825901237239,36.77853024473237,0.20807330238076668,0.048242010567741266
O=C1CCC2CC2CN1,29.1259,31.094814,0.0676001188130532,32.21831220923748,0.09598306047673219,0.03487141728409218
C=C(C)C(C)C(C)C,39.4617,38.761185,0.0177517772325365,42.58486043472215,0.07333968933653331,0.08978954951803643
CCC(O)C1CCC1C,39.4617,39.987114,0.0133145290911622,42.338880838337296,0.06795599650645576,0.05554626838902657
CC1(O)CCC1C#N,32.1943,30.79242,0.043544371718169,30.90645704322028,0.041669058183497754,0.003689748166889744
Cc1nnncnc1=N,32.9446,27.187527,0.174750134987802,22.6714231751109,0.4531333011404058,0.1991980737162968
CC#CC1CC1CCC,32.9446,39.066414,0.185821466322084,41.217871752886076,0.20072049819764845,0.05219720624550269
CC1C2CC1C2,27.3973,21.908686,0.2003341320420588,25.26141894695968,0.08455111161906384,0.13272148148127663
CC1N=CC=NN=CO1,27.3973,28.558119,0.0423698255007036,30.43328242022665,0.0997586253860302,0.06161554952680269
C1=COCC2CC=C2N1,25.379,29.149399,0.1485637260613474,30.337004634826066,0.16343092188918376,0.039147096067049664
CCN(C=O)NC1CN1,40.1421,35.051228,0.1268212781697998,36.957341812746066,0.08617389755438405,0.05157605280173781
C#CC#CC(=N)C#N,40.1421,26.728565,0.3341512971153862,26.695438031171015,0.5037063618558326,0.001240922467363283
CCn1ncc(C)c1O,40.1421,34.30029,0.1455282819271355,31.809679611817756,0.2619460645270576,0.07829724846574508
CCC(N)C(=O)C=N,41.5994,33.0021,0.2066688005549753,34.16955477523811,0.2174405043798267,0.03416651995957935
CCCC(C=O)CO,41.5994,34.291718,0.1756679776800417,38.322996933515384,0.08549443750885881,0.10519216282873288
CC1CCNCC1C,28.3051,33.601242,0.1871091098575764,35.76120161427764,0.20849695417675213,0.06039952565283144
OCCC1CCC2=CN21,28.3051,32.501877,0.148269281191541,35.50509064026928,0.20278755835939682,0.08458543792205069
